regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Plantae,Trachéophytes,Angiospermes,717630,"[125677, 717630]","Taraxacum officinale F.H.Wigg., 1780",2,125677,"[125677, 717630]","Taraxacum officinale Weber ex F.H.Wigg., 1780",2,,,12,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,610225,[610225],"x Serapicamptis complicata (E.G.Camus) J.M.H.Shaw, 2005",1,1053804,[610225],"x Serapicamptis timbalii (K.Richt.) H.Kretzschmar, Eccarius & H.Dietr., 2007",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660114,[660114],"Caloplaca haematites (Chaub. ex St.-Amans) Zwackh, 1862",1,1044021,[660114],"Sanguineodiscus haematites (Chaub.ex St.-Amans) I.V.Frolov & Vondrák, 2020",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660720,"[660720, 664751]","Caloplaca alnetorum var. alnetorum Giralt, Nimis & Poelt, 1992",2,1041750,"[660720, 664751]","Athallia alnetorum (Giralt, Nimis & Poelt) Arup, Frödén & Søchting, 2013",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,658679,[658679],"Toninia physaroides (Opiz) Zahlbr., 1926",1,1046246,[658679],"Thalloidima physaroides (Opiz) Kistenich, 1857",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,31673,[31673],"Armillaria ectypa (Fr.) Emel, 1921",1,1043361,[31673],"Desarmillaria ectypa (Fr.) R.A.Koch & Aime, 2017",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,36479,[36479],"Inocybe perlata (Cooke) Sacc., 1887",1,1043681,[36479],"Pseudosperma perlatum (Cooke) Matheny & Esteve-Rav., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,36360,[36360],"Inocybe godfrinioides Kühner, 1988",1,1043691,[36360],"Pseudosperma godfrinioides (Kühner) Matheny & Esteve-Rav., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660090,[660090],"Caloplaca pusilla (A.Massal.) Zahlbr., 1926",1,978026,[660090],"Calogaya pusilla (A.Massal.) Arup, Frödén & Søchting, 2013",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,55990,[55990],"Lecanora reuteri Schaer., 1850",1,1045952,[55990],"Polyozosia reuteri (Schaer.) S.Y.Kondr., Lőkös & Farkas, 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,461326,[461326],Cortinarius pseudophlegmus R. Henry,1,1076142,[461326],"Cortinarius pseudophlegma Rob.Henry, 1981",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,120347,[120347],"Salix x ehrhartiana Sm., 1819",1,1077552,[120347],"Salix x hexandra Ehrh., 1792",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,36427,[36427],"Inocybe malenconii R.Heim, 1931",1,1043672,[36427],"Mallocybe malenconii (R.Heim) Matheny & Esteve-Rav., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,59553,[59553],"Caloplaca xantholyta (Nyl.) Jatta, 1902",1,59554,[59553],"Leproplaca xantholyta (Nyl.) Nyl., 1888",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,464583,[464583],"Inocybe melliolens Kühner, 1988",1,1043679,[464583],"Pseudosperma melliolens (Kühner) Matheny & Esteve-Rav., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660135,[660135],"Caloplaca chrysodeta (Vain.) Dombr., 1970",1,1051920,[660135],"Leproplaca chrysodeta (Vain.) J.R.Laundon ex Ahti, 2015",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,34907,[34907],"Cortinarius evosmus Joachim ex Bidaud & Reumaux, 2006",1,1056565,[34907],"Calonarius evosmus (Joachim ex Bidaud & Reumaux) Niskanen & Liimat., 2022",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,36478,[36478],"Inocybe perbrevis (Weinm.) Gillet, 1876",1,1043667,[36478],"Mallocybe perbrevis (Weinm.) Matheny & Esteve-Rav., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,59501,[59501],"Caloplaca luteoalba (Turner) Th.Fr., 1861",1,977869,[59501],"Cerothallia luteoalba (Turner) Arup, Frödén & Søchting, 2013",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,130802,"[80048, 130802]","Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944",2,130762,"[80048, 130802]","Aconitum degenii subsp. paniculatum (Arcang.) Mucher, 1993",2,"[108, 106, 107]",3,10,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,140616,[140616],"Saxifraga cuneifolia subsp. robusta D.A.Webb, 1988",1,121048,[140616],"Saxifraga excavata Kunze, 1842",1,"[106, 107]",2,10,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,37870,[37870],"Psathyrella typhae (Kalchbr.) A.Pearson & Dennis, 1948",1,1043525,[37870],"Candolleomyces typhae (Kalchbr.) D.Wächt. & A.Melzer, 2020",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Autres,50134,[50134],"Trichophaea hemisphaerioides (Mouton) Graddon, 1960",1,1043451,[50134],"Perilachnea hemisphaerioides (Mouton) Van Vooren, 2021",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,653959,[653959],"Strigula taylorii (Carroll ex Nyl.) R.C.Harris, 1980",1,1042392,[653959],"Dichoporis taylorii (Carroll ex Nyl.) S.H.Jiang, Lücking & Sérus., 2020",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,36282,[36282],"Inocybe cookei Bres., 1892",1,1043613,[36282],"Inosperma cookei (Bres.) Matheny & Esteve-Rav., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,58583,[58583],"Lecanora agardhiana Ach., 1814",1,979692,[58583],"Polyozosia agardhiana (Ach.) S.Y.Kondr., Lőkös & Farkas, 2020",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,662790,"[659413, 662790]","Melanelia commixta (Nyl.) A.Thell, 1995",2,59028,"[659413, 662790]","Cetraria commixta (Nyl.) Th.Fr., 1871",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Myriapodes,400706,"[227774, 400706]","Geophilus alpinus Meinert, 1870",2,1046324,"[227774, 400706]","Geophilus impressus C.L. Koch, 1847",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,659656,"[659656, 663855]","Lecanora crenulata Hook., 1833",2,1042895,"[659656, 663855]","Myriolecis crenulata (Hook.) Śliwa, Zhao Xin & Lumbsch, 2015",2,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,154644,[154644],Populus x jackii 'Gileadensis' ,1,159793,[154644],"Populus x jackii Sarg., 1913",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
