cd_nom	taxa_name	level_1_alp	level_1_mc
5125	Neckera pumila Hedw.	1	1
5128	Neckera menziesii Drumm.	1	0
5132	Hookeria lucens (Hedw.) Sm.	1	0
5136	Myurella julacea (SchwÃ¤gr.) Schimp.	1	1
5139	Anacamptodon splachnoides (Froel. ex Brid.) Brid.	1	1
5143	Fabronia pusilla Raddi	1	1
5149	Habrodon perpusillus (De Not.) Lindb.	1	1
5151	Lescuraea mutabilis (Brid.) Lindb. ex I.Hagen	1	1
5180	Anomodon longifolius (Schleich. ex Brid.) Hartm.	1	1
5181	Anomodon rostratus (Hedw.) Schimp.	1	1
5182	Anomodon rugelii (MÃ¼ll.Hal.) Keissl.	1	1
5188	Heterocladium dimorphum (Brid.) Schimp.	0	1
5205	Pterygoneurum ovatum (Hedw.) Dixon	1	1
5210	Tortula atrovirens (Sm.) Lindb.	1	1
5214	Tortula canescens Mont.	1	1
5219	Tortula inermis (Brid.) Mont.	1	1
5223	Tortula marginata (Bruch & Schimp.) Spruce	1	1
5225	Tortula mucronifolia Schwägr.	1	0
5233	Tortula revolvens (Schimp.) G.Roth	1	0
5273	Didymodon acutus (Brid.) K.Saito	0	1
5278	Didymodon cordatus Jur.	1	1
5281	Didymodon ferrugineus (Schimp. ex Besch.) M.O.Hill	0	1
5284	Didymodon insulanus (De Not.) M.O.Hill	1	0
5289	Didymodon luridus Hornsch.	0	1
5298	Didymodon spadiceus (Mitt.) Limpr.	1	1
5300	Didymodon tophaceus (Brid.) Lisa	1	1
5308	Leptobarbula berica (De Not.) Schimp.	1	0
5314	Anoectangium aestivum (Hedw.) Mitt.	1	1
5322	Eucladium verticillatum (With.) Bruch & Schimp.	0	1
5328	Gyroweisia tenuis (Hedw.) Schimp.	1	1
5330	Hymenostylium recurvirostrum (Hedw.) Dixon	0	1
5338	Aschisma carniolicum (F.Weber & D.Mohr) Lindb.	1	0
5347	Tortella inclinata (R.Hedw.) Limpr.	0	1
5349	Tortella nitida (Lindb.) Broth.	1	1
5353	Trichostomum brachydontium Bruch	0	1
5356	Trichostomum crispulum Bruch	0	1
5362	Weissia brachycarpa (Nees & Hornsch.) Jur.	0	1
5364	Weissia condensa (Voit) Lindb.	1	1
5371	Weissia longifolia Mitt.	1	0
5379	Weissia rutilans (Hedw.) Lindb.	1	1
5380	Weissia wimmeriana (Sendtn.) Bruch & Schimp.	1	0
5385	Cinclidotus danubicus Schiffn. & Baumgartner	1	1
5388	Dialytrichia mucronata (Brid.) Broth.	1	0
5390	Cinclidotus riparius (Host ex Brid.) Arn.	1	1
5395	Coscinodon cribrosus (Hedw.) Spruce	1	1
5397	Schistidium agassizii Sull. & Lesq.	1	1
5407	Schistidium flaccidum (De Not.) Ochyra	1	1
5423	Thuidium delicatulum (Hedw.) Schimp.	1	0
5425	Thuidium recognitum (Hedw.) Lindb.	1	1
5452	Hygroamblystegium tenax (Hedw.) Jenn.	1	0
5455	Conardia compacta (Drumm. ex MÃ¼ll.Hal.) H.Rob.	1	1
5464	Calliergon giganteum (Schimp.) Kindb.	0	1
5491	Campylium protensum (Brid.) Kindb.	0	1
5514	Warnstorfia fluitans (Hedw.) Loeske	1	0
5520	Drepanocladus sendtneri (Schimp. ex H.MÃ¼ll.) Warnst.	1	1
5525	Grimmia anomala Hampe ex Schimp.	1	1
5530	Grimmia crinita Brid.	1	1
5531	Grimmia decipiens (Schultz) Lindb.	1	0
5533	Grimmia donniana Sm.	1	1
5534	Grimmia elatior Bruch ex Bals.-Criv. & De Not.	1	1
5540	Grimmia incurva SchwÃ¤gr.	1	1
5546	Grimmia muehlenbeckii Schimp.	1	1
5547	Grimmia orbicularis Bruch ex Wilson	0	1
5552	Grimmia plagiopodia Hedw.	1	1
5557	Grimmia tergestina Tomm. ex Bruch & Schimp.	0	1
5577	Racomitrium ericoides (Brid.) Brid.	1	1
5586	Racomitrium sudeticum (Funck) Bruch & Schimp.	0	1
5590	Campylostelium saxicola (F.Weber & D.Mohr) Bruch & Schimp.	1	1
5596	Ptychomitrium polyphyllum (Dicks. ex Sw.) Bruch & Schimp.	1	1
5613	Brachydontium trichodes (F.Weber) Milde	1	1
5615	Seligeria acutifolia Lindb.	1	0
5617	Seligeria calcarea (Hedw.) Bruch & Schimp.	1	0
5620	Seligeria donniana (Sm.) MÃ¼ll.Hal.	1	1
5621	Seligeria pusilla (Hedw.) Bruch & Schimp.	0	1
5625	Seligeria recurvata (Hedw.) Bruch & Schimp.	1	1
5626	Seligeria trifaria (Brid.) Lindb.	1	0
5639	Entosthodon attenuatus (Dicks.) Bryhn	1	1
5642	Entosthodon fascicularis (Hedw.) MÃ¼ll.Hal.	1	1
5643	Entosthodon obtusus (Hedw.) Lindb.	1	1
5658	Physcomitrium eurystomum Sendtn.	1	0
5660	Physcomitrium sphaericum (C.F.Ludw. ex Schkuhr) Brid.	1	0
5662	Pyramidula tetragona (Brid.) Brid.	1	1
5665	Micromitrium tenerum (Bruch & Schimp.) Crosby	1	1
5669	Ephemerum cohaerens (Hedw.) Hampe	1	0
5670	Ephemerum recurvifolium (Dicks.) Boulay	1	1
5671	Ephemerum serratum (Hedw.) Hampe	1	0
5680	Splachnum ampullaceum Hedw.	1	1
5687	Tayloria serrata (Hedw.) Bruch & Schimp.	1	0
5689	Tayloria tenuis (Dicks.) Schimp.	1	1
5697	Schistostega pennata (Hedw.) F.Weber & D.Mohr	1	1
5705	Anomobryum julaceum (Schrad. ex G.Gaertn., B.Mey. & Scherb.) Schimp.	1	0
5706	Anomobryum concinnatum (Spruce) Lindb.	1	1
5726	Bryum canariense Brid.	1	1
5742	Bryum funckii SchwÃ¤gr.	1	1
5744	Bryum gemmiparum De Not.	1	1
5745	Bryum gemmilucens R.Wilczek & Demaret	1	1
5749	Bryum klinggraeffii Schimp.	1	1
5751	Bryum kunzei Hornsch.	1	1
5766	Bryum ruderale Crundw. & Nyholm	1	1
5768	Bryum schleicheri DC.	1	1
5770	Bryum subapiculatum Hampe	1	0
5771	Bryum tenuisetum Limpr.	1	0
5776	Bryum violaceum Crundw. & Nyholm	1	0
5778	Bryum weigelii Spreng.	1	1
5782	Leptobryum pyriforme (Hedw.) Wilson	1	1
5793	Hygrohypnum duriusculum (De Not.) D.W.Jamieson	1	1
5795	Hygrohypnum eugyrium (Schimp.) Broth.	1	1
5796	Hygrohypnum luridum (Hedw.) Jenn.	0	1
5802	Scorpidium scorpioides (Hedw.) Limpr.	1	0
5809	Brachythecium campestre (Müll.Hal.) Schimp.	1	0
5814	Brachythecium geheebii Milde	1	1
5816	Brachythecium glareosum (Bruch ex Spruce) Schimp.	0	1
5818	Brachythecium mildeanum (Schimp.) Schimp.	1	1
5872	Plasteurhynchium striatulum (Spruce) M.Fleisch.	0	1
5876	Homalothecium aureum (Spruce) H.Rob.	1	0
5881	Homalothecium philippeanum (Spruce) Schimp.	0	1
5898	Rhynchostegiella curviseta (Brid.) Limpr.	1	1
5901	Rhynchostegiella tenuicaulis (Spruce) Kartt.	1	1
5910	Rhynchostegium murale (Hedw.) Schimp.	0	1
5916	Rhynchostegium rotundifolium (Scop. ex Brid.) Schimp.	1	1
5919	Scleropodium cespitans (Wilson ex Müll.Hal.) L.F.Koch	1	1
5924	Scleropodium touretii (Brid.) L.F.Koch	1	1
