cd_nom	taxa_name	level_1_alp	level_1_mc	level_2_alp	level_2_mc
87218	Calamagrostis canescens (Weber) Roth, 1789	1	0	0	1
92515	Coronilla coronata L., 1759	1	0	0	0
115894	Primula matthioli (L.) J.A.Richt., 1894	1	0	0	0
114312	Poa palustris L., 1759	1	1	0	0
86122	Blitum virgatum L., 1753	1	0	0	0
93307	Cruciata glabra (L.) Ehrend., 1958	1	0	0	0
88465	Carex depauperata Curtis ex With., 1787	1	1	0	0
93830	Cynoglossum germanicum Jacq., 1767	1	1	0	0
116542	Pyrola media Sw., 1804	1	0	0	0
103120	Hydrocharis morsus-ranae L., 1753	1	1	0	0
81035	Alchemilla amphisericea Buser, 1906	1	1	0	0
613802	Pinguicula grandiflora f. grandiflora Lam., 1789	1	0	0	0
94068	Cystopteris montana (Lam.) Desv., 1827	1	0	0	0
83240	Aquilegia alpina L., 1753	1	0	0	0
103245	Hypericum androsaemum L., 1753	1	1	0	0
87476	Callitriche obtusangula Le Gall, 1852	1	1	0	0
128315	Utricularia minor L., 1753	1	1	0	0
88893	Carex strigosa Huds., 1778	1	1	0	1
87613	Campanula bononiensis L., 1753	1	0	0	0
123899	Sisymbrium strictissimum L., 1753	1	0	0	0
88762	Carex pauciflora Lightf., 1777	1	1	0	0
88632	Carex limosa L., 1753	1	1	0	0
128347	Vaccinium oxycoccos L., 1753	1	1	0	0
94578	Delphinium dubium (Rouy & Foucaud) Pawl., 1934	1	0	0	0
95919	Eleocharis ovata (Roth) Roem. & Schult., 1817	1	1	0	1
81098	Alchemilla hoppeana (Rchb.) Dalla Torre, 1882	1	0	0	0
93112	Crepis praemorsa (L.) Walther, 1802	1	0	0	0
131848	Asplenium trichomanes subsp. hastatum (H.Christ) S.Jess., 1995	1	0	0	0
98977	Fritillaria meleagris L., 1753	1	1	0	0
137017	Knautia timeroyii subsp. timeroyi	1	0	0	0
103027	Hottonia palustris L., 1753	1	1	0	0
81347	Allium coloratum Spreng., 1825	1	1	0	0
117681	Rhododendron hirsutum L., 1753	1	0	0	0
129643	Viola persicifolia Schreb., 1771	1	0	0	0
121960	Scorzonera humilis L., 1753	1	0	0	0
89149	Carlina biebersteinii Bernh. ex Hornem., 1819	1	1	0	0
101262	Heracleum alpinum L., 1753	1	0	0	0
717746	Cyanus lugdunensis (Jord.) Fourr., 1869	1	1	0	0
82652	Anemone pulsatilla L., 1753	1	0	0	0
111815	Osmunda regalis L., 1753	1	1	0	1
88669	Carex melanostachya M.Bieb. ex Willd., 1805	1	1	0	0
151823	Silene nutans var. brachypoda (Rouy) P.Fourn., 1936	0	1	0	0
106545	Loncomelos narbonense (L.) Raf., 1840	0	1	0	0
103056	Hyacinthoides italica (L.) Rothm., 1944	0	1	0	0
612465	Epipactis leptochila subsp. provincialis (Aubenas & Robatsch) J.-M.Tison, 2010	0	1	1	0
91708	Cistus pouzolzii Delile, 1840	0	1	0	0
138844	Pinus nigra subsp. salzmannii (Dunal) Franco, 1943	0	1	0	0
89928	Cephalanthera rubra (L.) Rich., 1817	0	1	0	1
96432	Epipactis atrorubens (Hoffm.) Besser, 1809	0	1	0	1
106026	Limodorum abortivum (L.) Sw., 1799	0	1	1	1
82783	Anogramma leptophylla (L.) Link, 1841	0	1	1	1
102845	Hippocrepis emerus (L.) Lassen, 1989	0	1	0	0
84487	Asplenium foreziense Legrand, 1885	0	1	1	0
718332	Clinopodium nepeta subsp. nepeta (L.) Kuntze, 1891	0	1	0	0
109838	Odontites luteus (L.) Clairv., 1811	0	1	0	0
99994	Gentianopsis ciliata (L.) Ma, 1951	0	1	0	1
82909	Anthericum ramosum L., 1753	0	1	0	1
105989	Lilium martagon L., 1753	0	1	0	0
92497	Cornus mas L., 1753	0	1	0	1
122810	Serapias lingua L., 1753	0	1	1	1
128510	Vandenboschia speciosa (Willd.) Kunkel, 1966	0	1	0	0
610593	Murbeckiella zanonii (Ball) Rothm., 1939	0	1	0	0
87961	Cardamine pentaphyllos (L.) Crantz, 1769	0	1	0	0
121995	Scrophularia alpestris J.Gay ex Benth., 1846	0	1	0	0
105280	Lathyrus vernus (L.) Bernh., 1800	0	1	1	1
92421	Corallorhiza trifida Châtel., 1760	0	1	1	1
112293	Papaver cambricum L., 1753	0	1	0	0
87666	Campanula latifolia L., 1753	0	1	1	0
91715	Cistus salviifolius L., 1753	0	1	1	1
95589	Dryopteris remota (A.Braun ex Döll) Druce, 1908	0	1	0	0
610859	Paragymnopteris marantae (L.) K.H.Shing, 1994	0	1	1	1
109001	Myosotis balbisiana Jord., 1852	0	1	0	1
117528	Rhamnus alpina L., 1753	0	1	1	1
87716	Campanula rhomboidalis L., 1753	0	1	0	0
85152	Atropa belladonna L., 1753	0	1	0	1
94259	Dactylorhiza incarnata (L.) Soó, 1962	0	1	0	1
87085	Bupleurum praealtum L., 1756	0	1	1	1
88691	Carex montana L., 1753	0	1	1	1
99754	Genista germanica L., 1753	0	1	0	1
96476	Epipactis rhodanensis Gévaudan & Robatsch, 1994	0	1	1	1
99881	Gentiana cruciata L., 1753	0	1	1	1
107003	Lycopodium clavatum L., 1753	0	1	1	0
107024	Lycopodium tristachyum Pursh, 1814	0	1	0	0
719047	Lycopodium oellgaardii (Stoor, Boudrie, Jérôme, K.Horn & Bennert) B.Bock, 2012	0	1	0	0
120091	Salix lapponum L., 1753	0	1	0	0
91684	Cistus laurifolius L., 1753	0	1	0	0
95462	Drymocallis rupestris (L.) Sojáâáík, 1989	0	1	0	0
87478	Callitriche palustris L., 1753	0	1	0	1
105441	Lemna trisulca L., 1753	0	1	1	1
129307	Vicia serratifolia Jacq., 1778	0	1	1	1
521628	Epipactis exilis P.Delforge, 2004	0	1	0	0
104148	Juncus capitatus Weigel, 1772	0	1	0	0
88732	Carex oedipostyla Duval-Jouve, 1870	0	1	0	0
131830	Asplenium obovatum subsp. billotii (F.W.Schultz) Kerguélen, 1998	0	1	0	0
138865	Pisum sativum subsp. biflorum (Raf.) Soldano, 1992	0	1	0	0
88467	Carex depressa Link, 1800	0	1	0	0
85798	Berula erecta (Huds.) Coville, 1893	0	1	1	1
114539	Polygala calcarea F.W.Schultz, 1837	0	1	1	1
129260	Vicia onobrychioides L., 1753	0	1	1	1
113682	Pinus mugo Turra, 1764	0	1	0	0
85897	Betula nana L., 1753	0	1	0	0
89920	Cephalanthera damasonium (Mill.) Druce, 1906	0	1	0	0
86894	Buglossoides purpurocaerulea (L.) I.M.Johnst., 1954	0	1	0	1
108686	Moehringia muscosa L., 1753	0	1	0	0
107086	Lysimachia thyrsiflora L., 1753	0	1	0	0
125226	Streptopus amplexifolius (L.) DC., 1805	0	1	1	0
124329	Sorbus mougeotii Soy.-Will. & Godr., 1858	0	1	0	1
106550	Lonicera alpigena L., 1753	0	1	0	1
105841	Leucojum vernum L., 1753	0	1	1	1
133884	Dianthus superbus subsp. autumnalis Oberd., 1979	0	1	0	0
106685	Lotus maritimus L., 1753	0	1	0	1
88582	Carex humilis Leyss., 1758	0	1	0	1
134096	Empetrum nigrum subsp. nigrum L., 1753	0	1	0	0
91422	Cirsium tuberosum (L.) All., 1785	0	1	1	1
122998	Seseli annuum L., 1753	0	1	1	0
103648	Inula salicina L., 1753	0	1	0	1
91132	Cicendia filiformis (L.) Delarbre, 1800	0	1	0	0
96691	Erica scoparia L., 1753	0	1	1	1
106435	Lobelia urens L., 1753	0	1	0	0
112413	Parietaria officinalis L., 1753	0	1	0	1
116870	Radiola linoides Roth, 1788	0	1	0	0
112042	Paeonia officinalis L., 1753	0	1	0	0
129137	Vicia cassubica L., 1753	0	1	0	0
138536	Paeonia officinalis subsp. microcarpa Nyman, 1878	0	1	0	0
123679	Silene viridiflora L., 1762	0	1	0	0
