regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Plantae,Trachéophytes,Angiospermes,612638,"[82322, 82339, 131328, 131335, 612638]","Lysimachia arvensis subsp. arvensis (L.) U.Manns & Anderb., 2009",5,610909,"[82321, 82322, 82339, 131328, 131335, 610909, 612638]","Lysimachia arvensis (L.) U.Manns & Anderb., 2009",7,[107],1,6,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Animalia,Arthropodes,Insectes,236619,[236619],"Priocnemis propinqua (Lepeletier, 1845)",1,236619,"[236609, 236619]","Priocnemis propinqua (Lepeletier, 1845)",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,139364,[139364],"Primula elatior subsp. elatior (L.) Hill, 1765",1,115865,"[115865, 139364]","Primula elatior (L.) Hill, 1765",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,470249,[470249],"Suillus viscidus var. brunneus Cazzoli & Consiglio, 1997",1,29759,"[29759, 470249]","Suillus viscidus (L.) Roussel, 1796",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,33167,[33167],"Tricholoma album var. thalliophilum Bon, 1970",1,33331,"[33167, 33331, 520071]","Tricholoma stiparophyllum (N.Lund) P.Karst., 1879",3,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,36146,[36146],"Hebeloma hiemale Bres., 1892",1,36146,"[36146, 36165]","Hebeloma hiemale Bres., 1892",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Animalia,Arthropodes,Insectes,66181,[66181],"Locusta migratoria (Linnaeus, 1758)",1,66181,"[66181, 66183, 837865]","Locusta migratoria (Linnaeus, 1758)",3,,,2,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,120685,[120685],"Salvia pratensis L., 1753",1,120685,"[120685, 140522]","Salvia pratensis L., 1753",2,,,17,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Animalia,Arthropodes,Insectes,837865,"[66183, 837865]","Locusta cinerascens (Fabricius, 1781)",2,66181,"[66181, 66183, 837865]","Locusta migratoria (Linnaeus, 1758)",3,,,2,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,138628,[138628],"Pedicularis comosa subsp. comosa L., 1753",1,112574,"[112574, 138628]","Pedicularis comosa L., 1753",2,,,5,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,36165,[36165],"Hebeloma oculatum Bruchet, 1970",1,36146,"[36146, 36165]","Hebeloma hiemale Bres., 1892",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,610909,"[82321, 610909]","Lysimachia arvensis (L.) U.Manns & Anderb., 2009",2,610909,"[82321, 82322, 82339, 131328, 131335, 610909, 612638]","Lysimachia arvensis (L.) U.Manns & Anderb., 2009",7,,,10,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,80978,"[80978, 125982]","Ajuga chamaepitys (L.) Schreb., 1773",2,80978,"[80978, 125982, 131033]","Ajuga chamaepitys (L.) Schreb., 1773",3,"[107, 106]",2,10,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,123325,[123325],"Sideritis romana L., 1753",1,123325,"[123325, 141101]","Sideritis romana L., 1753",2,,,4,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,33374,[33374],"Tricholoma sejunctum var. coniferarum Bon, 1976",1,33435,"[33370, 33374, 33377, 33435]","Tricholoma viridilutescens M.M.Moser, 1978",4,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,33435,[33435],"Tricholoma viridilutescens M.M.Moser, 1978",1,33435,"[33370, 33374, 33377, 33435]","Tricholoma viridilutescens M.M.Moser, 1978",4,,,,cas3: f_cd_ref,Merge attributes if exists,merge
