i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
121047;{121047};1;121047;{121047,140624};2;;;7;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
122293;{122293};1;811173;{122293};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
124682;{124682};1;124682;{124682,124692};2;;;2;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
125150;{125150};1;969360;{125150};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
124692;{124692};1;124682;{124682,124692};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
126650;{126650};1;126650;{126650,141766,141769};3;;;4;cas3: f_cd_ref;Merge attributes if exists;merge
128330;{128330};1;100694;{128330};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
128512;{128512};1;970234;{128512};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
128998;{128998};1;128996;{128998};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
129000;{129000};1;129000;{129000,152410};2;;;10;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
129265;{129265};1;129265;{129265,142220,152461};3;;;10;cas3: f_cd_ref;Merge attributes if exists;merge
130650;{130650};1;670749;{130650};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
130873;{130873};1;130873;{130873,613836};2;;;1;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
131294;{131294};1;961575;{131294};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
131779;{131779};1;131784;{131779};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
131830;{131830};1;131829;{131830};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
131296;{131296};1;131296;{131296,143448};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
