i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
29476;{29476};1;942438;{29476};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29487;{29487};1;968009;{29487};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29491;{29491};1;968171;{29491};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29495;{29495};1;971200;{29495};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29403;{29403};1;508990;{29403};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29411;{29411};1;967901;{29411};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29425;{29425};1;971196;{29425};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29443;{29443};1;968167;{29443};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29447;{29447};1;967997;{29447};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29461;{29461};1;971180;{29461};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29465;{29465};1;968170;{29465};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
29473;{29473};1;968004;{29473};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
469262;{469262};1;510065;{30673,469262};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
