cd_nom;nom_cite;sources;nb;plus_recente_diffusion;cd_nom_remplacement;cd_raison_suppression
101747;Hieracium asterinum A.-T. et Briquet,Hieracium bupleuroides C.C. Gmel.,Hieracium bupleuroides C.C.Gmel., 1808,Hieracium bupleuroides C.C. Gmelin gr.,Hieracium bupleuroides Gmel.,Hieracium fulcratum Arvet-Touvet gr.,Hieracium fulcratum A.-T.,Hieracium glaucum All. var bupleuroideum Gmelin;SI CBN;53;9.0;;3
29364;Boletus appendiculatus J.C. Sch. : Fr.,Boletus appendiculatus Schaeff. : Fr.;SI CBN;56;9.0;29492;1
