regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Fungi,Basidiomycètes,Autres,32372,[32372],Leucopaxillus subzonalis (Peck) Bigelow,1,995058,[32372],"Notholepista subzonalis (Peck) Vizzini & Contu, 2012",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,30619,[30619],Collybia filamentosa Velen.,1,509989,[30619],"Rhodocollybia filamentosa (Velen.) Antonín, 1986",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,31816,[31816],Lyophyllum connatum (Schumach. : Fr.) Singer,1,994181,[31816],"Leucocybe connata (Schumach.) Vizzini, P.Alvarado, G.Moreno & Consiglio, 2015",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,37302,[37302],Coprinus heterosetulosus Locquin ex Watling,1,510277,[37302],"Coprinellus heterosetulosus (Locq. ex Watling) Vilgalys, Hopple & Jacq.Johnson, 2001",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,37304,[37304],Coprinus hiascens (Fr. : Fr.) J.E. Lange,1,510282,[37304],"Coprinellus hiascens (Fr.) Redhead, Vilgalys & Moncalvo, 2001",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,37609,[37609],"Phellinus nigrolimitatus (Romell) Bourdot & Galzin, 1925",1,516474,[37609],"Phellopilus nigrolimitatus (Romell) Niemelä, T.Wagner & M.Fisch., 2001",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,41413,[41413],"Antrodia albobrunnea (Romell) Ryvarden, 1973",1,994267,[41413],"Anthoporia albobrunnea (Romell) Karasiński & Niemelä, 2016",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,41569,[41569],Tyromyces fissilis (Berk. & M.A.Curtis) Donk,1,994954,[41569],"Pappia fissilis (Berk. & M.A.Curtis) Zmitr., 2018",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,44051,[44051],"Polyporus arcularius (Batsch) Fr., 1821",1,994968,[44051],"Lentinus arcularius (Batsch) Zmitr., 2010",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,45167,[45167],Fomitopsis spraguei (Berk. & M.A.Curtis) Gilbertson & Ryvarden,1,996487,[45167],"Niveoporofomes spraguei (Berk. & M.A.Curtis) B.K.Cui, M.L.Han & Y.C.Dai, 2016",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Autres,48776,[48776],Nectria fuckeliana C.Booth,1,978675,[48776],"Neonectria fuckeliana (C.Booth) Castl. & Rossman, 2006",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Autres,50113,[50113],Trichopezizella nidulus (J.C.Schmidt & Kunze : Fr.) Raitv.,1,880969,[50113],"Lasiobelonium nidulus (J.C.Schmidt & Kunze) Spooner, 1987",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,56475,[56475],"Leptogium turgidum (Ach.) Cromb., 1871",1,989056,[56475],"Scytinium turgidum (Ach.) Otálora, P.M.Jørg. & Wedin, 2013",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,107900,"[107900, 127555]","Melilotus caeruleus (L.) Desr., 1798",2,127555,"[107900, 127555]","Trigonella caerulea (L.) Ser., 1825",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
